Time, Rain(mm),,,,, Latitude,23.77, Longitude,90.393,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230929,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140714,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140728,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150330,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150401,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150407,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150706,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150720,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160702,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170704,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170831,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171020,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180506,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180731,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180927,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190614,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200611,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210607,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230912,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140610,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140626,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140820,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20151006,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160820,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170803,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20171019,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180819,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180914,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190708,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190831,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200626,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210613,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210722,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20220714,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140719,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150708,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150906,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160801,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170816,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20170929,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180813,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180913,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200824,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210824,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210826,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230612,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230628,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20230629,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140726,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140813,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20140815,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150521,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20150901,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160507,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160617,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160627,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20160628,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180530,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20180817,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20190811,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200710,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20200915,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20201012,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS_1d20210729,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
